Name,Age,Gender,Quintuple Steps (A),Transition 1,Tilting Slider (S),Transition 2,Spinning Log (B),Transition 3,Cargo Crossing (S),Transition 4,Swinging Spikes (S),Transition 5,Warped Wall (A),Total,Result
Ian Waggoner,42,M,8.5,7.93,15.2,16.93,5.1,20,,,,,,73.66,Failed
CJ Maico,30,M,8.69,11.84,,,,,,,,,,20.53,Failed
Jeremiah Morgan,25,M,3.03,3.23,7.33,5.07,1.16,1.1,31.77,21.34,,,,74.03,Failed
Jake Goldstein (NS),,M,F,,,,,,,,,,,,Failed
Evan Newpher (NS),,M,,,F,,,,,,,,,,Failed
Tom Mortimer (NS),,M,,,F,,,,,,,,,,Failed
Karsten Williams (PS),34,M,,,,5.59,1.21,9.5,43.87,8.9,,,,116.86,Failed
Rose Wetzel,33,F,13.4,19.13,12.33,12.83,1.41,14.72,,,,,,73.82,Failed
Daniela Bright,31,F,,,,,,,,,,,,0,Failed
Dustin Rodgers,41,M,12.69,12.87,18.51,21.09,2.04,36.56,,,,,,103.76,Failed
Mark Morgan (NS),,M,,,,,F,,,,,,,,Failed
Joshua Morgan (NS),,M,F,,,,,,,,,,,,Failed
Jon Horton,29,M,10.89,14.77,13.1,14.9,1.1,15.64,39.93,30.56,19.93,21.44,28.06,210.32,Completed
Joey Zavala (NS),,M,,,F,,,,,,,,,,Failed
Dustin Wray (NS),,M,,,,,F,,,,,,,,Failed
Max Grocki (NS),,M,,,,,,,F,,,,,,Failed
Johnathan Parr,30,M,10.99,14.93,17.34,38.56,1.38,34.03,40.8,35.53,29.94,32.39,9.71,265.6,Completed
Anthony Scott,31,M,2.99,6.04,12.56,10.33,1.44,4.87,30.97,12.33,,,,81.53,Failed
Brent Steffensen,33,M,4.43,4.23,10.84,6.86,1.07,1.6,27.47,15.29,19.41,14.49,4.27,109.96,Completed
Matthew Sopic (NS),,M,,,F,,,,,,,,,,Failed
Yvette Ontiveros (NS),,F,,,F,,,,,,,,,,Failed
Jeff Kearney (NS),,M,,,F,,,,,,,,,,Failed
Cassandra Dortch,27,F,35.66,50.84,,,,,,,,,,86.5,Failed
Ryan McCoy,25,M,5.59,12.14,24.57,4.46,1.47,17.03,35.77,25.93,35.9,18.43,5.47,186.76,Completed
Eric Mckeethen (NS),26,M,,,,,F,,,,,,,,Failed
Evan Dollard (NS),,M,,,,,,,,,F,,,,Failed
Geoff Lancaster (NS),29,M,,,,,,,,,,,,141.59,Completed
Jill Lancaster,30,F,14.36,10.84,F,,,,,,,,,25.2,Failed
Artist Thompson III,27,M,7.03,9.04,11,22.63,,,,,,,,49.7,Failed
Dillon Gates (NS),22,M,,,,,,,,,,,,140.81,Completed
David Yarter (NS),24,M,,,,,,,,,F,,,,Failed
Vance Yarter (NS),55,M,,,,,,,,,F,,,,Failed
Sam Sann (PS),48,M,,,,,,,30.57,28.39,18.71,22.36,14.76,190.43,Completed
Ashley Hajek,27,F,16.03,20.17,12.33,34.8,1.83,32.2,,,,,,117.36,Failed
Dyan St. John (NS),,M,,,,,F,,,,,,,,Failed
Tremayne Dortch (NS),,M,,,,,,,,,,,,171.55,Completed
Abel Gonzalez (NS),,M,,,,,,,,,,,,183.72,Completed
Daniel Gil,21,M,4.13,4.56,8.34,5.4,1.2,4.96,24.71,8.62,21.31,3.27,4.28,90.78,Completed
Kacy Catanzaro,25,F,4.33,7.59,20.15,17.36,1.2,14.19,,,,,,64.82,Failed
Thomas Stillings (NS),,M,,,,,,,,,,,,140.57,Completed
Andrew Lowes (NS),,M,,,,,,,,,,,,156.71,Completed
Nathan Jasso (NS),,M,,,,,,,,,,,,186.17,Completed
Joe Calderon (NS),,M,,,,,,,,,,,,197.27,Completed
Tony Matesi (NS),,M,,,,,,,,,,,,220.06,Completed
Josh Grant (NS),,M,,,,,,,,,F,,,59.61,Failed
Travis Iverson (NS),,M,,,,,,,,,F,,,85.57,Failed
Brock Riebe (NS),,M,,,,,,,,,F,,,86.62,Failed
Kevin Klein (NS),,M,,,,,,,,,F,,,88.34,Failed
Clayton Coufal (NS),,M,,,,,,,,,F,,,88.48,Failed
Robert Ing (NS),,M,,,,,,,,,F,,,88.96,Failed
Tyler Fisher (NS),,M,,,,,,,,,F,,,90.32,Failed
Darren Fagan (NS),,M,,,,,,,,,F,,,93.28,Failed
Christopher Janes (NS),,M,,,,,,,,,F,,,101.94,Failed