Name,Age,Gender,Quintuple Steps,Transition 1,Big Dipper,Transition 2,Floating Tiles,Transition 3,Modified Ring Toss,Transition 4,Bungee Road,Transition 5,Warped Wall,Total,Result
Lars Hanson,21,M,3.03,7,10.43,9,3.14,13.87,,,,,,46.47,Failed
Tyer Brayton,35,M,3.07,5.49,,,,,,,,,,8.56,Failed
Annie Dudek,35,F,8.43,12.8,9.2,23.49,5.71,16.57,58.06,40.47,,,,174.73,Failed
Andrew Rowland (NS),30,M,,,F,,,,,,,,,,Failed
Paul Kartchner (NS),,M,,,F,,,,,,,,,,Failed
David Mytyk (NS),53,M,,,,,F,,,,,,,,Failed
Franklin Bain,23,M,8.63,9,8.57,9.53,4.77,11.39,21.87,14.64,,,,88.4,Failed
Steven Moul,21,M,22.82,26.28,,,,,,,,,,49.1,Failed
Cassie Craig,25,F,6.03,16.33,7.5,13.17,5.96,26.08,29.39,52.97,,,,157.43,Failed
Dennis Lappin,39,M,9.3,17.52,6.74,21,5.84,18.49,20.37,10.24,24.76,29.4,4.69,168.35,Completed
Robyn Fog (NS),,F,F,,,,,,,,,,,,Failed
Kristy Welch (NS),,F,,,F,,,,,,,,,,Failed
Trent Jarret (NS),22,M,,,,,,,,,F,,,169.57,Failed
Tavares Chambliss,33,M,4.1,14.13,6.76,15.34,5.83,20.87,19.86,26.74,19,25.44,11.88,169.95,Completed
Noah Kaufman (NS),,M,,,,,,,,,,,,215.61,Completed
Ian Dory (NS),,M,,,,,,,,,,,,160.23,Completed
Alan Adams (NS),21,M,,,,,,,,,,,,104.5,Completed
Kirsti Meyer,21,F,8.3,9.52,,,,,,,,,,17.82,Failed
Isaac Caldiero,33,M,3.23,7.23,4.64,5.3,4.8,16.39,18.3,21.93,18.87,5.38,7.35,113.42,Completed
James Fenby (NS),,M,,,,,,,,,,,,132.99,Completed
Nicole Martinez (NS),,F,,,F,,,,,,,,F,,Failed
Brendan Crouvreux (NS),,M,,,,,,,,,,,,187.23,Completed
Lance Pekus,28,M,2.79,6.54,4.03,11.63,3.44,3.7,18.46,6.17,18.47,2.8,3.66,81.69,Completed
William Adams,30,M,3.23,5.84,9.16,18.03,9.33,10.61,,,,,,56.2,Failed
Amy Pajcic (NS),,F,,,F,,,,,,,,,,Failed
Laura Kisana (NS),,F,,,F,,,,,,,,,,Failed
Caitlin Shukwit,21,F,5.99,14.6,7.74,24.17,6.57,11.39,,,,,,70.46,Failed
Donovan Metoyer (NS),,M,,,,,F,,,,,,,133.23,Failed
Lutalo Sephers (NS),,M,,,,,,,,,F,,,,Failed
Mark Pierson (NS),,M,,,,,,,,,,,,,Completed
Jon Stewart,53,M,5.86,8.73,9.44,8.66,8.41,27.36,26.74,22.2,17.46,27.5,14.65,177.01,Completed
Brian Arnold,37,M,4.03,20,6.1,16.13,2.14,20.67,17.33,22.26,22.64,33.96,6.49,171.75,Completed
Michael Stanger,31,M,5.23,11,11.93,6.53,10.77,9.77,24.07,17.73,38.04,19.85,5.38,160.3,Completed
Brandon Berrett (NS),,M,,,,,,,,,,,,117.56,Completed
Kevin Hogan (NS),,M,,,,,,,,,,,,83.65,Completed
Zac Eddington (NS),,M,,,,,,,,,,,,77.1,Completed
Paul Kasemir,29,M,2.45,3.78,3.69,3.44,2.3,3.2,16.96,3.87,17.34,2.1,3.94,63.07,Completed
Lorin Ball,28,M,1.63,3.77,3.03,6,2.23,5.74,16.1,1.9,12.16,2.23,3.55,58.34,Completed
Jake Murray (NS),,M,,,,,,,,,,,,82.37,Completed
TJ Sanderson (NS),,M,,,,,,,,,,,,96.02,Completed
Dan Yager (NS),,M,,,,,,,,,,,,101.03,Completed
Josh Cook (NS),,M,,,,,,,,,,,,102.65,Completed
Dan Banura (NS),,M,,,,,,,,,,,,115.34,Completed
Jason Williams (NS),,M,,,,,,,,,,,,123.56,Completed
Michael Silenzi (NS),,M,,,,,,,,,,,,126.25,Completed
Brandon Mears (NS),,M,,,,,,,,,,,,129.27,Completed
Spencer Mestel (NS),,M,,,,,,,,,,,,129.46,Completed
Brian Beckstrand (NS),,M,,,,,,,,,,,,134.41,Completed
Dan Polizzi (NS),,M,,,,,,,,,,,,137.88,Completed
Ethan Swanson (NS),,M,,,,,,,,,,,,137.99,Completed
Karson Volies (NS),,M,,,,,,,,,,,,138.28,Completed
Dave Cavanagh (NS),,M,,,,,,,,,,,,143.64,Completed
Mike McKenzie (NS),,M,,,,,,,,,,,,145.81,Completed
Christopher Lange (NS),,M,,,,,,,,,,,,158.49,Completed
Dan Hulguin (NS),,M,,,,,,,,,,,,164.27,Completed
Meagan Martin,25,F,4.33,11.33,10.37,8,8.04,14.52,56.77,36.9,30.77,53.76,5.55,240.34,Completed
Gabe Blomgren (NS),,M,,,,,,,,,,,,266.2,Completed