Name,Age,Gender,Quintuple Steps (A),Transition 1,Rolling Log (S),Transition 2,Paddle Boards (B),Transition 3,Tire Swing (S),Transition 4,Double Tilt Ladder (S),Transition 5,Warped Wall (A),Total,Result
Bootie Cothran,46,M,4.79,15.37,13.63,18.44,,,,,,,,52.23,Failed
Devin Harrelson,30,M,2.13,16.03,8.2,25.63,2.08,27.85,,,,,,81.92,Failed
Marybeth Wang,33,F,12.23,30.3,10.39,75.77,1.81,35.32,40.1,22.87,,,,228.79,Failed
Danny Adair (NS),,M,,,F,,,,,,,,,,Failed
Mike Wright (NS),,M,,,,,,,F,,,,,,Failed
Johnathan Sharp Brown (NS),,M,,,,,F,,,,,,,,Failed
Ricky Vu,22,M,2.76,20.06,6.21,28.04,1.59,16.57,35,15.87,,,,126.1,Failed
Casey Eischen,31,F,13.07,9.26,,,,,,,,,,22.33,Failed
Chad Hohn,31,M,11.03,29.6,8.73,38.67,1.73,21.47,30.8,30.83,33.73,37.67,4.97,249.23,Completed
Jeff Brown (NS),56,M,,,F,,,,,,,,,,Failed
Jen Liam (NS),,F,,,,,,,F,,,,,,Failed
Bart Copeland (NS),,M,,,,,F,,,,,,,,Failed
Emily Durham,30,F,7.99,20.04,7.1,46.76,2.03,27.94,,,,,,111.86,Failed
Nate Lieb,31,M,5.56,14.47,7.23,17.33,,,,,,,,44.59,Failed
Hunter Sipes,21,M,4.46,6.8,10.3,19.87,1.6,9.73,25.23,15.44,31.97,38.93,5.97,170.3,Completed
Johnatan Ruiz,30,M,4.92,14.38,13,24.59,1.7,16.4,,,,,,74.99,Failed
Shaun Murray,39,M,9.2,35.9,5.89,32,1.87,24,26.7,32.33,38.31,61.16,6.43,273.79,Completed
Karly Streisfeld (NS),,F,,,F,,,,,,,,,,Failed
Brent Ruffin (NS),,M,,,F,,,,,,,,,,Failed
Stephen France,33,M,10.59,15.27,7.24,22.72,1.41,16.84,,,,,,74.07,Failed
Jon Alexis Jr.,26,M,2.76,7.03,7.61,8.93,1.7,9.96,11.77,5.13,32,4.47,6.39,97.75,Completed
Tiffany Stewart (NS),,F,,,,,,,F,,,,,,Failed
Idoko Abuh (NS),,M,,,,,,,,,F,,,92.14,Failed
Reko Rivera (NS),,M,,,,,,,,,,,,228.2,Completed
Jon Alexis Sr.,48,M,3.89,13.41,7.2,17.32,,,,,,,,41.82,Failed
Travis Rosen,40,M,4.56,9.17,8.34,20.96,1.4,6.6,34.79,8.91,29.3,2.86,5,131.89,Completed
Dana Lin Bailey (NS),,,,,F,,,,,,,,,,Failed
Asya Grechka,21,F,5.03,32.53,9.03,67.84,1.8,41.53,40.87,74.03,,,,272.66,Failed
Alexio Gomes,22,M,10.5,30.23,14.03,16.27,1.53,57.03,29.4,30.67,25.64,40.69,3.52,259.51,Completed
Lucas Gomes (NS),,M,,,,,F,,,,,,,,Failed
Adam Arnold (NS),,M,,,,,,,,,,,,163.17,Completed
James McGrath (NS),,M,,,,,,,,,,,,120.99,Completed
Drew Drechsel,26,M,1.56,5.94,9.9,27.73,1.6,8.06,28.71,22.63,22.9,9.37,10.74,149.14,Completed
Kavon Sadler (NS),,M,,,,,,,F,,,,,,Failed
Adam Williams (NS),,M,,,,,,,,,,,,273.06,Completed
J.J. Woods (NS),,M,,,,,,,,,,,,153.85,Completed
Flip Rodriguez,25,M,1.59,15.77,14.37,13.96,1.81,9.96,23.53,23.14,19.53,2,3.79,129.45,Completed
Cory Cook (NS),,M,,,,,,,,,,,,139.91,Completed
Neil Craver (NS),,M,,,,,,,,,,,,142.72,Completed
Kenneth Niemitalo (NS),,M,,,,,,,,,,,,192.08,Completed
Rich Shoemaker (NS),,M,,,,,,,,,,,,201.35,Completed
Jo Jo Bynum (NS),,M,,,,,,,,,,,,204.72,Completed
Solomon Harvey (NS),,M,,,,,,,,,,,,216.13,Completed
Eddy Stewart (NS),,M,,,,,,,,,,,,225.29,Completed
James Bogle Jr. (NS),,M,,,,,,,,,,,,228.77,Completed
Luis Alemany (NS),,M,,,,,,,,,,,,235.91,Completed
Stephens Nunnally (NS),,M,,,,,,,,,,,,246.55,Completed
Gordon White (NS),,M,,,,,,,,,,,,256.95,Completed
Matt Jordan (NS),,M,,,,,,,,,,,,261.05,Completed
Sean Clayton (NS),,M,,,,,,,,,F,,,82.7,Failed
Kyle Johnson (NS),,M,,,,,,,,,,,F,128.59,Failed
Matthew Schumann (NS),,M,,,,,,,,,F,,,90.25,Failed
Jesus Fernandez (NS),,M,,,,,,,,,F,,,109.79,Failed