Name,Age,Gender,Quintuple Steps,Transition 1,Log Grip,Transition 2,Snake Crossing,Transition 3,Wind Chimes,Transition 4,Devil Steps,Transition 5,Warped Wall,Total,Result
Matt Scoletti,31,M,17.23,21.59,,,,,,,,,,38.82,Failed
Brianne McLaughlin,28,F,6.56,12.3,4.24,19.33,,,,,,,,42.43,Failed
Miles Avery,56,M,6.59,12.44,4.1,9.07,32.2,24.9,29.23,22.13,40.7,27.46,,208.82,Failed
Shannon Mullholand (NS),,F,,,F,,,,,,,,,,Failed
Anthony Cohen (NS),,M,,,,,F,,,,,,,,Failed
David Hunt (NS),,M,,,,,F,,,,,,,,Failed
Chris Wilczewski,26,M,4.33,12.2,5.33,3.73,,,,,,,,25.59,Failed
Amber Holbrook,30,F,11.23,27.03,4.77,39.76,33.87,71.03,,,,,,187.69,Failed
Mike Needham (NS),,M,,,,,F,,,,,,,,Failed
Dan Daliczynski (NS),,M,,,,,F,,,,,,,,Failed
Matt Zacharkow (NS),,M,,,,,,,F,,,,,,Failed
Jeff Kraebel,44,M,18.1,13.97,3.79,11.27,71.63,30.37,77.1,9.27,,,,235.5,Failed
Alexi Matousek (NS),,M,,,F,,,,,,,,,,Failed
Aaron Himelright (NS),,M,,,,,,,,,F,,,135.58,Failed
Scott Maxson (NS),,M,,,,,,,,,F,,,164.24,Failed
P.J. Granger,28,M,8.03,22.2,3.27,12.9,32.26,11.87,24.03,20.07,34.1,7.5,35.67,211.9,Completed
BJ Reynoso,26,M,9.33,8.77,6.46,21.94,,,,,,,,46.5,Failed
Zamira Doar,34,F,12.76,19.47,,,,,,,,,,32.23,Failed
Felice Herrig,30,F,,,,,,,,,,,,0,Failed
Jamie Rahn,27,M,4.86,15.5,4.14,28.49,63.14,58.1,71.79,46.26,52.23,16.86,5.39,366.76,Completed
Mike Bernardo,35,M,4.53,11,4.26,16.74,42.5,41.89,32.34,45.94,36.87,22.56,6.52,265.15,Completed
Abby Majesky (NS),,F,,,,,F,,,,,,,,Failed
Brian Wilczewski (NS),,M,,,,,,,,,,,,200.54,Completed
Ron Schmidt (NS),34,M,,,,,,,,,,,,250.45,Completed
Ryan Ripley,26,M,6.23,7.8,4.6,8,29.26,17.51,46.26,13.57,,,,133.23,Failed
Tim Mitroka (NS),32,M,,,,,,,,,F,,,134.36,Failed
Joe Archambault (NS),,M,,,,,,,,,,,,255.64,Completed
Geoff Britten (NS),35,M,,,,,,,,,,,,221.81,Completed
Luciano Acuna Jr. (PS),26,M,,,,,,,25.5,24.17,27.16,8.71,4.74,160.04,Completed
Elet Hall,24,M,2.46,3.61,3.75,1.68,11.42,1.64,20.26,6.04,19.24,1.93,10.68,82.71,Completed
Matt Esser (NS),,M,,,F,,,,,,,,,,Failed
Justin Kydd (NS),,M,,,,,,,,,,,,130.42,Completed
Dustin Sanderson (NS),34,M,,,,,,,,,,,,106.54,Completed
Michelle Warnky,31,F,6.07,15.13,4.2,20.93,37.43,39.83,37.4,57.51,,,,218.5,Failed
Joe Moravsky,26,M,2.99,5.24,3.93,1.73,17.27,1.53,22,12.47,20.83,2.04,4.14,94.17,Completed
Mike Meyers (NS),,M,,,,,,,,,,,,154.53,Completed
Danny Johnson (NS),,M,,,,,,,,,,,,161.78,Completed
Pavel Fesyuk (NS),,M,,,,,,,,,,,,181.38,Completed
Adam Grossman (NS),,M,,,,,,,,,,,,183.37,Completed
Adam Mihm (NS),,M,,,,,,,,,,,,224.64,Completed
Alex Dell'Aquila (NS),,M,,,,,,,,,,,,225.16,Completed
Jazon Khazi (NS),,M,,,,,,,,,,,,273.23,Completed
Kelly Mohler (NS),,M,,,,,,,,,,,,281.68,Completed
Todd Mitchell (NS),,M,,,,,,,,,,,,291.54,Completed
Sean Darling-Hammond (NS),,M,,,,,,,,,,,,332.64,Completed
Chad Sanderson (NS),,M,,,,,,,,,F,,,74,Failed
David Bozak (NS),,M,,,,,,,,,F,,,100.04,Failed