Name,Age,Gender,Quintuple Steps,Transition 1,Tilting Slider,Transition 2,Spinning Log,Transition 3,Cargo Crossing,Transition 4,Swinging Spikes,Transition 5,Warped Wall,Transition 6,Salmon Ladder,Transition 7,Walking Bar,Transition 8,Crazy Cliffhanger,Transition 9,Invisible Ladder,Total,Result
Vance Yarter,55,M,5.59,7.54,12.3,12.26,1.54,16.56,31.13,47.51,,,,,,,,,,,,134.43,Failed
Geoff Lancaster,29,M,5.16,6.1,10.43,6.54,1.07,8.16,32.57,10.89,14.11,17.2,4.33,35.6,19.4,0,,,,,,171.56,Failed
David Yarter (PS),24,M,,,,,,,,,,28,4.56,20.47,33.91,0,,,,,,194.07,Failed
Travis Iverson,29,M,2.43,10,9.6,9.33,1.37,28.67,32.03,17.87,28.59,32.47,6.46,30.54,,,,,,,,209.36,Failed
Abel Gonzalez (PS),31,M,,,,,,,,34.46,10.81,21.13,4.13,75.87,17.21,0,,,,,,273.07,Failed
Evan Dollard,33,M,4.4,4.36,12.23,6.47,1,13.7,32.5,41.44,,,,,,,,,,,,116.1,Failed
Andrew Lowes (NS),,M,,,,,,,,,F,,,,,,,,,,,,Failed
Dillon Gates (NS),22,M,,,,,,,,,,,,,,,F,,,,,207.8,Failed
Kevin Klein (PS),26,M,,,,,,,,,16.77,20.81,4.83,47.46,20.97,0,,,,,,233.76,Failed
Tremayne Dortch,29,M,7.99,12.41,11.73,33.9,1.23,18.77,35.27,31.1,21.59,48.74,4.16,27.93,17.74,0,67.51,101.82,,,,441.89,Failed
Thomas Stillings,22,M,5.89,3.1,7.47,5.2,1.64,3.49,25.34,15.43,23.54,9,4.2,39.73,10.27,0,,,,,,154.3,Failed
Josh Grant (NS),,M,,,,,,,,,,,,,F,,,,,,,,Failed
Joe Calderon (NS),,M,,,,,,,,,,,,,,,F,,,,,,Failed
Jon Horton,29,M,13.33,23.3,11.83,32.8,1.07,42,50.77,49.46,19.2,84.44,17.59,97.03,14.51,0,,,,,,457.33,Failed
Jeremiah Morgan,25,M,3.1,7.72,7.61,7.43,1.03,14.24,25.6,33.9,18.03,17.93,4.44,56.3,11.83,0,32.54,79.73,22.17,17.1,15.55,376.68,Completed
Christopher Janes (NS),29,M,,,,,,,,,F,,,,,,,,,,,,Failed
Nathan Jasso (NS),,M,,,,,,,,,,,,,F,,,,,,,,Failed
Karsten Williams,34,M,4.4,11.1,20.8,1.1,10.29,35.87,43,17.47,35.23,3.77,52.27,16.46,31.54,0,,,,,,283.3,Failed
Daniel Gil,21,M,3.63,3.8,8.33,2.97,1.09,6.97,18.87,12.37,14.33,7.17,3.57,31.06,14.87,0,35.04,38.72,,,,202.79,Failed
Brent Steffensen,33,M,4.33,3.87,7.83,1.96,1.04,1.37,23.39,31.51,15.73,9.33,3.71,49.96,18.6,0,,,,,,172.63,Failed
Johnathan Parr (NS),30,M,,,,,,,,,,,,,,,F,,,,,,Failed
Robert Ing (NS),,M,,,,,,,,,F,,,,,,,,,,,,Failed
Tony Matesi (NS),,M,,,,,,,,,F,,,,,,,,,,,,Failed
Sam Sann,48,M,5.63,8.53,14.24,18.23,1.4,23.37,40.36,39.87,17.44,58.52,5.1,57.13,20.91,0,48.9,62.4,23.07,63.46,14.83,523.39,Completed
Anthony Scott (NS),,M,,,,,,,,,,,,,,,F,,,,,363.94,Failed