Name,Age,Gender,Quintuple Steps (A),Transition 1,Big Dipper (S),Transition 2,Floating Tiles (B),Transition 3,Ring Toss (S),Transition 4,Bungee Road (S),Transition 5,Warped Wall (A),Transition 6,Salmon Ladder (S),Transition 7,Flying Shelf Grab (S),Transition 8,Body Prop (S),Transition 9,Invisible Ladder (S),Total,Result
Brandon Mears,33,M,4.59,10.87,5.8,11.73,2.57,11,15.17,17.13,23.8,13.77,4.93,20.3,16.47,0,19.23,29,,,,206.36,Failed
Dan Polizzi,33,M,4.76,9.57,8.53,11.34,2.33,6.73,,,,,,,,,,,,,,43.26,Failed
Christopher Lange (NS),,M,,,,,F,,,,,,,,,,,,,,,,Failed
Dan Hulguin (NS),,M,,,,,,,,,F,,,,,,,,,,,,Failed
Dan Banura,30,M,3.23,6,6.76,11.83,2.81,9.36,32.7,16.38,17.75,20.58,3.76,19.5,19.67,0,,,,,,170.33,Failed
Kevin Hogan (PS),29,M,,,,,,,,,,44.27,5.06,27.13,19.41,0,,,,,,232.99,Failed
Alan Adams,21,M,5.3,11.26,5.1,13.6,2.73,12.64,18.83,17.53,15.7,15.3,5.51,23.93,,,,,,,,147.43,Failed
James Fenby (NS),,M,,,,,,,,,F,,,,,,,,,,,,Failed
TJ Sanderson (NS),31,M,,,,,,,,,,,,,F,,,,,,,,Failed
Jon Stewart,53,M,5.33,8.43,7.54,6.52,2.97,8.61,18.63,12.13,17.43,13.94,4.42,16.31,14.69,0,,,,,,136.95,Failed
Mike McKenzie (NS),22,M,,,,,F,,,,,,,,,,,,,,,,Failed
Gabe Blomgren (NS),36,M,,,,,,,,,F,,,,,,,,,,,,Failed
Jake Murray (NS),,M,,,,,,,,,,,,,,,,,F,,,195.28,Failed
Isaac Caldiero,33,M,3.03,5.96,5.6,5.84,2.6,5.79,16.68,11.36,19.27,16.76,4.77,28.17,9.3,0,14.87,41.7,,,,191.7,Failed
Lutalo Sephers (NS),,M,,,,,,,,,,,,,F,,,,,,,,Failed
Paul Kasemir (NS),,M,,,,,,,,,,,,,,,,,F,,,191.78,Failed
Brian Arnold (NS),,M,,,,,,,,,,,,,,,,,F,,,,Failed
Noah Kaufman,40,M,4.33,8.17,6.53,29.13,2.34,29.66,16.47,34.83,,,,,,,,,,,,131.46,Failed
Dan Yager,32,M,5.03,7.79,7.84,25.87,2.5,14.27,16,28.23,26.63,31.27,4.16,64.3,12.87,0,16.6,14,,,,277.36,Failed
Karson Volies (NS),,M,,,,,,,,,,,,,,,,,F,,,225.02,Failed
Josh Cook (NS),,M,,,,,,,,,,,,,,,,,F,,,157.03,Failed
Brendan Crouvreux,33,M,6.89,9.31,6.23,16.43,2.24,13.13,16.46,7.44,28,42.5,33.87,38.57,19,0,26.39,44.94,121.23,47,15.21,494.84,Completed
Brandon Berrett,28,M,5.5,7.66,7.27,8.33,2.34,8.76,16.47,11,19.33,19.97,3.77,13.1,21.7,0,16.1,28.43,,,,189.73,Failed
Michael Stanger,31,M,5.3,12.43,10.06,16.24,2.73,19.6,19.53,28.44,28,35.56,4.41,55.69,11.44,0,26.87,75.69,,,,351.99,Failed
Michael Silenzi (NS),,,,,,,,,,,,,,,,,F,,,,,,Failed
Lorin Ball (NS),,,,,,,,,,,,,,,,,,,F,,,,Failed
Dennis Lappin (NS),,,,,,,,,,,,,,,,,,,F,,,,Failed
Ian Dory (PS),,,,,,,,,,,,,,,9.63,0,18.8,19.57,36.77,34.53,12.48,404.51,Completed
Lance Pekus,,M,2.86,10.77,6.87,10.49,2.7,22.34,22.13,20.76,23.11,27.63,4.7,49.56,14.74,0,15.8,15.36,38.84,30.1,19.68,338.44,Completed
Meagan Martin,25,F,4.46,9.97,,,,,,,,,,,,,,,,,,14.43,Failed