Name,Age,Gender,Quintuple Steps,Transition 1,Rolling Log,Transition 2,Paddle Boards,Transition 3,Tire Swing,Transition 4,Double Tilt Ladder,Transition 5,Warped Wall,Transition 6,Salmon Ladder,Transition 7,Cannonball Alley,Transition 8,Double Helix,Transition 9,Invisible Ladder,Total,Result
Kyle Johnson,29,M,3.1,6.97,,,,,,,,,,,,,,,,,,10.07,Failed
Alexio Gomes,22,M,8.99,26.67,13.7,36.67,1.7,37.77,23.73,34.9,27.4,23.5,4.27,57.9,25.46,0,,,,,,322.66,Failed
Adam Williams (NS),,M,,,F,,,,,,,,,,,,,,,,,,Failed
Shaun Murray (NS),,M,,,,,,,,,,,,,F,,,,,,,,Failed
JJ Woods (PS),28,M,,,,,,,,8.63,25.96,10.67,3.13,15.44,16.07,0,,,,,,211,Failed
Matt Jordan,28,M,6.16,21.63,17.54,28.36,1.84,19.26,24.2,34.14,36.23,7.07,6.36,53.31,,,,,,,,256.1,Failed
Jo Jo Bynum,37,M,5.63,16.8,12.39,17.77,1.84,41.33,23.67,39.16,31.3,21.8,3.38,78.03,21.72,0,,,,,,314.82,Failed
James Bogle Jr. (NS),,M,,,,,,,,,,,,,,,F,,,,,,Failed
Eddy Stewart (NS),,M,,,,,,,,,,,,,,,F,,,,,,Failed
Rich Shoemaker,38,M,5.3,12.83,19.79,17.54,1.57,51.27,21.39,27.87,26.2,28.47,5.64,64.39,20.07,0,,,,,,302.33,Failed
Travis Rosen,40,M,4.23,3.43,14.5,15.07,1.33,9.7,15.97,18.59,21.81,17.4,3.63,19.93,18.74,0,6.7,31.33,,,,202.36,Failed
Sean Clayton (NS),,M,,,,,,,,,,,,,,,F,,,,,,Failed
Idoko Abuh (NS),,M,,,,,,,,,,,,,,,F,,,,,,Failed
Hunter Sipes (NS),21,M,,,,,,,,,,,,,,,F,,,,,,Failed
Drew Drechsel,26,M,2.63,5.16,15.47,30.56,1.41,22.84,14.66,25.86,19.1,3.94,2.77,51.1,17.6,0,12.3,59.29,34.9,36.44,,356.03,Failed
Adam Arnold,25,M,2.89,25.37,13.97,33.56,1.61,17.63,9.4,17.77,24.43,43.03,3.87,16.8,12.8,0,7.07,53.24,35.76,61.67,21.2,402.07,Completed
Jon Alexis Jr.,26,M,1.79,4.1,9,18,15.75,1.51,,,,,,,,,,,,,,50.15,Failed
Reko Rivera (NS),,M,,,,,,,,,,,,,,,F,,,,,,Failed
Gordon White (NS),,M,,,,,,,,,,,,,,,,,F,,,,Failed
Neil Craver,34,M,4.63,4.9,16.8,34.93,1.53,29.77,11.87,22.9,23.46,36.07,3.7,42.47,19.33,0,15.74,25.23,39.56,49.9,,382.79,Failed
Flip Rodriguez,25,M,1.59,8.67,19.24,35.16,1.93,12.33,15.61,26.06,19.51,18.93,3.2,36.5,17.3,0,13.47,52.76,29.77,88.2,,400.23,Failed
Matthew Schumann (NS),,M,,,,,,,,,F,,,,,,,,,,,,Failed
Chad Hohn (NS),,M,,,,,,,F,,,,,,,,,,,,,,Failed
James McGrath,28,M,4.92,6.84,12.32,7.28,1.63,1.4,9.83,5.27,20.73,9.24,3.6,51.36,21.13,0,7.04,25.4,30.83,39.5,72.18,330.5,Completed